"1","Cronk","Cronk","Cronk","Cronk","Cronk","Cronk","Cronk","Cronk","Cronk","Cronk","Cronk","Cronk","Fletcher","Fletcher","Fletcher","Fletcher","Fletcher","Fletcher","Fletcher","Fletcher","Fletcher","Fletcher","Fletcher","Fletcher","Fletcher","Williams","Williams","Williams","Williams","Williams","Williams","Williams","Williams","Williams","Williams","Williams","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Blank","Overvote"
"2","","Fletcher","Fletcher","Fletcher","Fletcher","Overvote","Williams","Williams","Williams","Write-in","Write-in","Write-in","","Cronk","Cronk","Cronk","Cronk","Overvote","Williams","Williams","Williams","Write-in","Write-in","Write-in","Write-in","","Cronk","Cronk","Cronk","Fletcher","Fletcher","Fletcher","Fletcher","Overvote","Write-in","Write-in","","Cronk","Cronk","Fletcher","Fletcher","Fletcher","Williams","Williams","Williams","",""
"3","","","Overvote","Williams","Write-in","","","Fletcher","Write-in","","Fletcher","Williams","","","Overvote","Williams","Write-in","","","Cronk","Write-in","","Cronk","Overvote","Williams","","","Fletcher","Write-in","","Cronk","Overvote","Write-in","","Cronk","Fletcher","","","Fletcher","","Cronk","Williams","","Cronk","Fletcher","",""
"36-018 Arctic Village","6","0","0","1","0","0","0","1","0","0","0","0","30","0","0","0","0","0","1","3","0","0","0","0","0","9","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"36-022 Beaver","1","0","0","0","0","0","0","0","0","0","0","0","7","0","0","2","0","0","1","0","0","0","0","0","0","3","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"36-026 Bettles","3","0","0","1","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"36-034 Central","27","0","0","0","0","0","3","0","0","0","0","0","6","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"36-038 Chistochina","49","1","0","0","0","0","1","1","0","0","0","0","10","0","0","0","0","0","0","1","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1"
"36-042 Circle","2","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","4","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"36-046 Copper Center","208","6","0","21","0","1","15","20","2","0","0","1","28","8","0","5","0","0","5","7","0","0","0","0","0","10","0","0","0","2","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0"
"36-050 Delta Junction","219","4","0","14","0","1","12","19","0","1","0","1","26","2","0","5","0","0","4","9","0","0","0","0","0","8","3","6","0","1","5","0","1","0","0","0","0","0","0","0","0","0","0","0","0","17","0"
"36-054 Deltana","770","13","0","30","1","0","56","34","2","1","0","0","80","13","0","10","0","0","17","16","0","0","0","0","0","51","14","7","0","7","13","0","0","0","0","1","4","0","1","0","0","0","1","1","2","53","0"
"36-058 Dot Lake","41","1","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"36-062 Eagle","38","0","0","0","0","0","4","1","0","0","0","0","9","1","0","0","0","0","2","2","0","0","0","0","0","6","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"36-066 Fort Yukon","37","2","0","1","0","0","1","1","0","0","0","0","61","3","0","1","0","1","2","3","0","0","0","0","0","14","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","1"
"36-070 Gakona","72","1","0","5","0","0","2","3","0","0","0","0","16","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0"
"36-074 Galena","70","5","0","8","0","0","5","10","0","1","0","0","23","2","0","7","0","0","1","3","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0"
"36-078 Glennallen","96","2","0","11","0","0","11","9","1","1","0","0","12","1","0","2","0","0","3","3","0","0","0","0","0","8","0","0","1","5","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0"
