"1","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Blank","Overvote"
"2","","Kelley","Kelley","Kelley","Kelley","Murkowski","Murkowski","Murkowski","Murkowski","Overvote","Tshibaka","Tshibaka","Tshibaka","Tshibaka","","Chesbro","Chesbro","Chesbro","Chesbro","Murkowski","Murkowski","Murkowski","Murkowski","Overvote","Tshibaka","Tshibaka","Tshibaka","Tshibaka","","Chesbro","Chesbro","Chesbro","Chesbro","Kelley","Kelley","Kelley","Kelley","Overvote","Tshibaka","Tshibaka","Tshibaka","Tshibaka","","Chesbro","Chesbro","Chesbro","Chesbro","Kelley","Kelley","Kelley","Kelley","Murkowski","Murkowski","Murkowski","Murkowski","Overvote","",""
"3","","","Murkowski","Overvote","Tshibaka","","Kelley","Overvote","Tshibaka","","","Kelley","Murkowski","Overvote","","","Murkowski","Overvote","Tshibaka","","Chesbro","Overvote","Tshibaka","","","Chesbro","Murkowski","Overvote","","","Kelley","Overvote","Tshibaka","","Chesbro","Overvote","Tshibaka","","","Chesbro","Kelley","Overvote","","","Kelley","Murkowski","Overvote","","Chesbro","Murkowski","Overvote","","Chesbro","Kelley","Overvote","","",""
"03-335 Haines No. 2","1","0","0","0","0","13","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","16","20","6","0","0","0","0","0","0","0","2","2","0","0","23","2","0","0","0","16","1","1","0","5","0","2","0","0","1","0"
"03-340 Klukwan","2","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","14","6","10","0","2","0","1","0","1","0","0","2","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0"
"03-345 Skagway","16","0","0","0","0","25","4","0","3","0","2","2","0","0","0","0","0","0","0","3","0","0","2","0","2","1","2","0","69","68","45","0","5","1","9","0","4","0","10","10","2","0","19","2","0","0","0","12","5","8","0","6","4","5","0","0","4","0"
"04-100 Douglas","28","1","5","0","6","46","12","0","3","0","0","3","0","0","4","0","0","0","0","0","0","0","2","0","5","0","1","0","119","132","65","0","9","4","10","0","3","0","2","6","5","0","45","1","1","0","0","13","6","11","0","4","2","2","0","0","14","1"
"04-105 Juneau Airport Area","16","1","1","0","3","13","5","0","1","0","0","0","2","0","4","1","0","0","0","2","1","0","1","0","0","2","2","0","36","31","15","0","3","1","7","0","2","1","6","1","2","0","65","1","0","0","0","27","11","18","0","1","1","4","0","0","5","0"
"04-110 Juneau No. 1","28","3","1","0","1","42","11","0","4","0","0","2","0","0","3","0","0","0","1","2","2","0","1","0","1","0","2","0","88","115","59","0","4","2","15","0","2","0","3","3","7","0","50","0","5","1","0","27","7","10","0","9","0","3","0","0","13","0"
"04-115 Juneau No. 2","17","0","0","0","0","90","17","0","2","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","1","1","0","85","185","77","0","6","3","8","0","2","0","2","2","0","0","22","0","2","0","0","15","8","4","0","4","0","4","0","0","6","0"
"04-120 Juneau No. 3","17","1","2","0","4","26","11","0","2","0","1","0","0","0","2","0","0","0","0","1","0","0","1","0","1","1","1","0","51","64","25","0","5","0","8","0","2","0","1","2","3","1","23","0","1","0","0","16","3","4","0","8","1","6","0","0","4","0"
"04-125 Lemon Creek","19","5","2","0","4","21","12","0","2","0","3","2","2","0","3","0","0","0","3","0","0","0","0","0","2","0","2","0","84","51","39","0","8","4","20","0","7","0","3","10","10","0","68","1","4","2","0","32","14","16","0","2","2","7","0","0","20","2"
"04-130 Glacier Valley Area","12","1","0","0","4","14","12","0","3","1","0","2","1","0","3","0","1","0","0","0","0","0","2","0","2","0","6","0","45","50","37","0","5","8","12","0","5","0","10","5","12","0","58","1","5","1","0","33","12","19","0","10","3","11","0","0","10","0"
