"1","Stein/Ware","West/Abdullah","Blank","Exhausted","Overvote"
"District 21 - Absentee","338","170","7","1953","7"
"District 21 - Early Voting","196","90","4","1243","8"
"District 21  - Question","82","43","4","264","9"
"District 22 - Absentee","173","111","7","925","9"
"District 22 - Early Voting","120","76","3","715","9"
"District 22  - Question","54","50","3","202","5"
"District 23 - Absentee","309","190","15","2220","4"
"District 23 - Early Voting","335","175","12","2989","6"
"District 23  - Question","50","33","0","240","1"
"District 24 - Absentee","233","133","14","1666","4"
"District 24 - Early Voting","265","180","12","2797","6"
"District 24  - Question","49","29","4","253","0"
"District 25 - Absentee","196","80","13","1300","8"
"District 25 - Early Voting","374","167","9","2873","3"
"District 25  - Question","71","26","2","334","4"
"District 26 - Absentee","127","65","5","1183","7"
"District 26 - Early Voting","223","115","7","2350","3"
"District 26  - Question","60","31","2","331","2"
"District 27 - Absentee","159","68","6","1076","2"
"District 27 - Early Voting","239","113","5","2376","7"
"District 27  - Question","74","40","2","378","3"
"District 28 - Absentee","148","73","4","1166","2"
"District 28 - Early Voting","275","137","12","2617","4"
"District 28  - Question","54","34","2","345","2"
"District 29 - Absentee","223","109","14","1674","7"
"District 29 - Early Voting","259","100","10","2437","6"
"District 29  - Question","47","32","5","299","3"
"District 3 - Absentee","403","152","8","2120","2"
"District 3 - Early Voting","397","159","14","2985","5"
"District 3  - Question","54","22","1","228","3"
"District 31 - Absentee","141","97","14","913","3"
"District 31 - Early Voting","258","220","10","1459","20"
"District 31  - Question","31","53","2","239","3"
"District 32 - Absentee","128","80","5","797","5"
"District 32 - Early Voting","122","112","4","848","8"
"District 32  - Question","148","124","4","565","1"
"District 33 - Absentee","155","71","5","1034","2"
"District 33 - Early Voting","220","81","4","1385","3"
"District 33  - Question","51","30","0","220","4"
"District 34 - Absentee","204","108","16","1234","6"
"District 34 - Early Voting","367","166","7","1995","10"
"District 34  - Question","99","60","4","519","1"
"District 35 - Absentee","198","110","5","1103","5"
"District 35 - Early Voting","435","213","8","2005","9"
"District 35  - Question","60","27","1","237","1"
"District 38 - Absentee","86","60","4","383","3"
"District 38 - Early Voting","3","9","0","18","0"
