"1","Oliver/Maat","Stein/Ware","Blank","Exhausted","Overvote"
"39-926 Nome No. 2","140","84","0","353","3"
"39-928 Nunam Iqua","13","4","1","19","0"
"39-930 Pilot Station","35","18","0","34","7"
"39-931 Russian Mission","6","5","2","45","1"
"39-932 Savoonga","54","15","1","83","6"
"39-934 Scammon Bay","30","25","0","45","8"
"39-936 Shaktoolik","18","3","2","32","2"
"39-938 Shishmaref","39","19","2","111","4"
"39-940 St. Mary's","22","13","2","78","2"
"39-942 St. Michael","15","9","3","35","3"
"39-944 Stebbins","32","10","0","25","6"
"39-946 Teller","12","6","0","18","0"
"39-948 Unalakleet","55","23","1","137","5"
"39-950 Wales","3","2","0","3","0"
"39-952 White Mountain","19","10","0","40","0"
"40-002 Ambler","7","5","3","27","2"
"40-004 Anaktuvuk Pass","4","7","2","44","1"
"40-006 Atqasuk","6","4","1","25","1"
"40-008 Utqiagvik","55","29","0","165","0"
"40-010 Browerville","129","114","3","391","10"
"40-012 Buckland","20","21","0","41","2"
"40-014 Deering","11","11","0","14","1"
"40-016 Kaktovik","4","6","0","63","0"
"40-018 Kiana","1","0","1","58","0"
"40-020 Kivalina","12","7","1","40","2"
"40-022 Kobuk","3","2","0","32","1"
"40-024 Kotzebue","134","80","6","347","7"
"40-026 Noatak","24","19","2","56","4"
"40-028 Noorvik","17","14","2","63","0"
"40-030 Nuiqsut","4","5","2","29","4"
"40-032 Point Hope","3","1","1","115","0"
"40-034 Point Lay","4","9","0","16","1"
"40-036 Selawik","12","12","0","51","3"
"40-038 Shungnak","10","5","0","29","6"
"40-040 Wainwright","27","15","0","85","2"
"District 1 - Absentee","295","236","15","2484","13"
"District 1 - Early Voting","5","3","0","12","0"
"District 1  - Question","73","43","2","377","3"
"District 10 - Absentee","189","207","22","1551","3"
"District 10 - Early Voting","144","149","4","1258","2"
"District 10  - Question","42","31","2","179","4"
"District 11 - Absentee","225","286","31","2012","5"
"District 11 - Early Voting","178","176","9","1415","6"
"District 11  - Question","38","26","0","172","2"
"District 12 - Absentee","201","257","9","1512","4"
"District 12 - Early Voting","129","211","2","1257","1"
"District 12  - Question","41","41","3","151","4"
"District 13 - Absentee","157","235","9","1258","1"
"District 13 - Early Voting","153","170","7","1058","4"
"District 13  - Question","43","53","2","243","5"
"District 14 - Absentee","205","274","10","1362","10"
"District 14 - Early Voting","179","202","6","1242","6"
"District 14  - Question","96","51","3","274","10"
"District 15 - Absentee","214","208","17","1705","1"
"District 15 - Early Voting","186","154","5","1396","2"
"District 15  - Question","52","25","3","199","4"
"District 16 - Absentee","221","288","12","1733","4"
"District 16 - Early Voting","221","208","10","1391","7"
"District 16  - Question","52","43","1","202","4"
"District 17 - Absentee","212","307","12","1729","9"
"District 17 - Early Voting","247","286","4","1554","14"
"District 17  - Question","77","55","4","246","17"
"District 18 - Absentee","196","151","5","1216","3"
"District 18 - Early Voting","69","54","0","384","1"
"District 18  - Question","148","60","3","620","4"
"District 19 - Absentee","123","177","3","827","14"
"District 19 - Early Voting","81","149","2","593","5"
"District 19  - Question","49","57","3","280","12"
"District 2 - Absentee","436","514","25","3679","19"
"District 2 - Early Voting","15","9","0","51","1"
"District 2  - Question","45","42","2","176","7"
"District 20 - Absentee","168","277","6","1351","4"
"District 20 - Early Voting","160","190","3","940","7"
"District 20  - Question","57","74","2","231","9"
"District 21 - Absentee","232","325","7","1904","7"
"District 21 - Early Voting","153","181","4","1194","9"
"District 21  - Question","64","65","4","258","11"
"District 22 - Absentee","159","153","7","898","8"
"District 22 - Early Voting","106","95","3","711","8"
"District 22  - Question","73","37","3","196","5"
"District 23 - Absentee","342","253","15","2124","4"
"District 23 - Early Voting","363","257","12","2881","4"
"District 23  - Question","78","25","0","220","1"
"District 24 - Absentee","236","192","14","1604","4"
"District 24 - Early Voting","318","235","12","2690","5"
"District 24  - Question","62","37","4","232","0"
"District 25 - Absentee","152","146","13","1278","8"
"District 25 - Early Voting","362","267","9","2784","4"
"District 25  - Question","73","40","2","318","4"
"District 26 - Absentee","143","94","5","1138","7"
"District 26 - Early Voting","254","148","7","2285","4"
"District 26  - Question","64","41","2","317","2"
"District 27 - Absentee","129","129","6","1045","2"
"District 27 - Early Voting","266","162","5","2300","7"
"District 27  - Question","74","57","2","360","4"
"District 28 - Absentee","150","120","4","1117","2"
"District 28 - Early Voting","276","217","12","2537","3"
"District 28  - Question","68","42","2","323","2"
"District 29 - Absentee","208","181","14","1618","6"
"District 29 - Early Voting","221","207","10","2368","6"
"District 29  - Question","50","41","5","287","3"
"District 3 - Absentee","249","360","8","2066","2"
"District 3 - Early Voting","284","342","14","2915","5"
"District 3  - Question","54","36","1","214","3"
"District 31 - Absentee","146","117","14","886","5"
"District 31 - Early Voting","288","219","10","1431","19"
"District 31  - Question","68","28","2","227","3"
"District 32 - Absentee","156","93","5","756","5"
"District 32 - Early Voting","151","113","4","818","8"
"District 32  - Question","198","102","4","536","2"
"District 33 - Absentee","169","107","5","983","3"
"District 33 - Early Voting","226","125","4","1334","4"
"District 33  - Question","58","31","0","212","4"
"District 34 - Absentee","202","162","16","1184","4"
"District 34 - Early Voting","308","297","7","1927","6"
"District 34  - Question","122","62","4","494","1"
"District 35 - Absentee","169","173","5","1069","5"
"District 35 - Early Voting","325","405","8","1924","8"
"District 35  - Question","51","49","1","224","1"
"District 38 - Absentee","100","64","4","365","3"
"District 38 - Early Voting","8","6","0","16","0"
"District 38  - Question","74","34","2","153","7"
"District 4 - Absentee","121","270","8","1266","3"
"District 4 - Early Voting","334","581","15","2917","9"
"District 4  - Question","72","71","5","275","4"
"District 40 - Absentee","61","55","4","327","2"
"District 40 - Early Voting","7","4","1","33","1"
"District 40  - Question","47","38","2","161","4"
"District 5 - Absentee","302","369","28","2428","14"
"District 5 - Early Voting","4","9","0","49","0"
"District 5  - Question","45","58","1","260","3"
"District 6 - Absentee","179","281","21","1905","3"
"District 6 - Early Voting","301","430","14","3321","3"
"District 6  - Question","48","21","1","270","0"
"District 7 - Absentee","179","114","8","1402","4"
"District 7 - Early Voting","347","210","20","3058","10"
"District 7  - Question","51","28","2","215","1"
"District 8 - Absentee","189","208","16","1853","4"
"District 8 - Early Voting","237","201","11","2723","6"
"District 8  - Question","28","17","1","150","1"
"District 9 - Absentee","326","335","31","2604","4"
"District 9 - Early Voting","207","186","8","1759","2"
"District 9  - Question","45","29","1","178","0"
"HD99 Fed Overseas Absentee","44","65","0","292","0"
"House District 30 - Judicial District 3","420","274","28","3642","16"
"House District 30 - Judicial District 4","51","74","1","416","2"
"House District 36 - Judicial District 3","71","79","7","563","1"
"House District 36 - Judicial District 4","306","339","18","2088","14"
"House District 37 - Judicial District 3","134","166","6","924","11"
"House District 37 - Judicial District 4","21","31","1","144","2"
"House District 39 - Judicial District 2","142","83","7","535","9"
"House District 39 - Judicial District 4","38","11","0","79","4"
"Total","41351","35717","1888","260390","1432"
