"1","Sonski/Onak","Terry/Broden","Blank","Exhausted","Overvote"
"District 35  - Question","39","39","1","246","1"
"District 38 - Absentee","52","83","4","394","3"
"District 38 - Early Voting","2","11","0","17","0"
"District 38  - Question","37","60","2","165","6"
"District 4 - Absentee","117","75","8","1465","3"
"District 4 - Early Voting","236","211","15","3383","11"
"District 4  - Question","61","47","5","310","4"
"District 40 - Absentee","49","39","4","355","2"
"District 40 - Early Voting","3","7","1","34","1"
"District 40  - Question","39","43","2","164","4"
"District 5 - Absentee","172","242","28","2686","13"
"District 5 - Early Voting","4","6","0","52","0"
"District 5  - Question","28","62","1","273","3"
"District 6 - Absentee","99","174","21","2093","2"
"District 6 - Early Voting","177","208","14","3667","3"
"District 6  - Question","18","30","1","291","0"
"District 7 - Absentee","121","105","8","1468","5"
"District 7 - Early Voting","209","214","20","3192","10"
"District 7  - Question","41","28","2","225","1"
"District 8 - Absentee","125","145","16","1979","5"
"District 8 - Early Voting","158","206","11","2797","6"
"District 8  - Question","17","23","1","155","1"
"District 9 - Absentee","242","160","31","2863","4"
"District 9 - Early Voting","119","123","8","1911","1"
"District 9  - Question","31","24","1","197","0"
"HD99 Fed Overseas Absentee","34","33","0","334","0"
"House District 30 - Judicial District 3","175","339","28","3820","18"
"House District 30 - Judicial District 4","33","37","1","471","2"
"House District 36 - Judicial District 3","37","57","7","619","1"
"House District 36 - Judicial District 4","186","241","18","2305","15"
"House District 37 - Judicial District 3","85","143","6","994","13"
"House District 37 - Judicial District 4","17","25","1","155","1"
"House District 39 - Judicial District 2","99","77","7","583","10"
"House District 39 - Judicial District 4","31","19","0","77","5"
"Total","26797","28218","1888","282407","1468"
