"1","Terry/Broden","Trump/Vance","Blank","Exhausted","Overvote"
"39-900 Alakanuk","21","38","0","25","3"
"39-902 Brevig Mission","14","44","1","37","6"
"39-906 Diomede","1","5","0","4","0"
"39-908 Elim","15","69","0","19","0"
"39-910 Emmonak","18","56","3","66","5"
"39-912 Gambell","21","71","2","47","5"
"39-914 Golovin","10","23","0","16","0"
"39-916 Hooper Bay","21","72","2","64","8"
"39-918 Kotlik","8","46","0","54","1"
"39-920 Koyuk","8","60","1","27","4"
"39-921 Marshall","13","48","1","23","1"
"39-922 Mountain Village","32","64","1","33","2"
"39-924 Nome No. 1","32","144","2","122","3"
"39-926 Nome No. 2","89","281","0","204","6"
"39-928 Nunam Iqua","8","14","1","14","0"
"39-930 Pilot Station","33","30","0","26","5"
"39-931 Russian Mission","7","24","2","25","1"
"39-932 Savoonga","40","51","1","62","5"
"39-934 Scammon Bay","17","51","0","33","7"
"39-936 Shaktoolik","4","38","2","11","2"
"39-938 Shishmaref","32","48","2","89","4"
"39-940 St. Mary's","22","30","2","61","2"
"39-942 St. Michael","8","35","3","16","3"
"39-944 Stebbins","16","42","0","11","4"
"39-946 Teller","11","16","0","9","0"
"39-948 Unalakleet","33","105","1","78","4"
"39-950 Wales","1","4","0","3","0"
"39-952 White Mountain","15","27","0","27","0"
"40-002 Ambler","4","23","3","12","2"
"40-004 Anaktuvuk Pass","3","27","2","25","1"
"40-006 Atqasuk","1","26","1","8","1"
"40-008 Utqiagvik","38","136","0","75","0"
"40-010 Browerville","88","364","3","187","5"
"40-012 Buckland","15","44","0","22","3"
"40-014 Deering","14","14","0","8","1"
"40-016 Kaktovik","3","59","0","11","0"
"40-018 Kiana","1","28","1","30","0"
"40-020 Kivalina","8","30","1","21","2"
"40-022 Kobuk","2","16","0","19","1"
"40-024 Kotzebue","96","268","6","200","4"
"40-026 Noatak","14","70","2","15","4"
"40-028 Noorvik","13","58","2","23","0"
"40-030 Nuiqsut","5","16","2","17","4"
"40-032 Point Hope","1","68","1","50","0"
"40-034 Point Lay","6","19","0","4","1"
"40-036 Selawik","5","62","0","10","1"
"40-038 Shungnak","10","21","0","12","7"
"40-040 Wainwright","5","98","0","24","2"
"District 1 - Absentee","182","1669","15","1165","12"
"District 1 - Early Voting","3","8","0","9","0"
"District 1  - Question","39","322","2","134","1"
"District 10 - Absentee","147","768","22","1031","4"
"District 10 - Early Voting","101","843","4","606","3"
"District 10  - Question","18","153","2","82","3"
"District 11 - Absentee","163","973","31","1388","4"
"District 11 - Early Voting","131","955","9","685","4"
"District 11  - Question","19","148","0","70","1"
"District 12 - Absentee","149","722","9","1099","4"
