"1","Kennedy/Shanahan","Trump/Vance","Blank","Exhausted","Overvote"
"District 38 - Absentee","98","177","4","254","3"
"District 38 - Early Voting","8","14","0","8","0"
"District 38  - Question","42","169","2","51","6"
"District 4 - Absentee","192","373","8","1093","2"
"District 4 - Early Voting","391","1096","15","2341","13"
"District 4  - Question","71","206","5","142","3"
"District 40 - Absentee","58","197","4","188","2"
"District 40 - Early Voting","8","19","1","17","1"
"District 40  - Question","31","158","2","58","3"
"District 5 - Absentee","288","1544","28","1272","9"
"District 5 - Early Voting","6","36","0","20","0"
"District 5  - Question","44","262","1","57","3"
"District 6 - Absentee","212","1096","21","1058","2"
"District 6 - Early Voting","296","2133","14","1624","2"
"District 6  - Question","23","242","1","74","0"
"District 7 - Absentee","128","1093","8","472","6"
"District 7 - Early Voting","219","2625","20","776","5"
"District 7  - Question","27","238","2","29","1"
"District 8 - Absentee","155","1434","16","662","3"
"District 8 - Early Voting","133","2464","11","566","4"
"District 8  - Question","6","170","1","19","1"
"District 9 - Absentee","328","1241","31","1696","4"
"District 9 - Early Voting","160","1100","8","893","1"
"District 9  - Question","38","143","1","71","0"
"HD99 Fed Overseas Absentee","65","54","0","282","0"
"House District 30 - Judicial District 3","244","3092","28","1001","15"
"House District 30 - Judicial District 4","58","248","1","235","2"
"House District 36 - Judicial District 3","68","421","7","224","1"
"House District 36 - Judicial District 4","279","1524","18","933","11"
"House District 37 - Judicial District 3","141","659","6","426","9"
"House District 37 - Judicial District 4","32","92","1","71","3"
"House District 39 - Judicial District 2","118","328","7","312","11"
"House District 39 - Judicial District 4","26","77","0","26","3"
"Total","34928","190738","1888","112064","1160"
