"1","Stein/Ware","Trump/Vance","Blank","Exhausted","Overvote"
"36-086 Holy Cross","10","11","1","19","0"
"36-090 Hughes","1","9","0","20","0"
"36-094 Huslia","13","22","4","55","1"
"36-098 Kaltag","8","16","1","14","1"
"36-102 Kenny Lake","15","137","0","33","0"
"36-106 Koyukuk","8","3","1","16","1"
"36-110 Manley","2","37","0","8","0"
"36-114 McGrath","3","65","3","22","1"
"36-118 Mentasta","5","14","0","20","0"
"36-122 Minto","6","27","0","17","1"
"36-126 Nenana","30","206","3","73","2"
"36-130 Nikolai","3","9","0","14","1"
"36-134 Northway","8","47","0","13","3"
"36-138 Nulato","7","13","0","56","1"
"36-142 Ruby","0","14","0","16","0"
"36-146 Shageluk","9","7","0","6","1"
"36-162 Tanana","8","17","0","54","0"
"36-166 Tetlin","0","17","0","13","0"
"36-170 Tok","31","417","9","64","1"
"36-174 Venetie","3","13","1","28","0"
"37-700 Akutan","3","24","0","21","1"
"37-702 Aleknagik","9","46","1","11","2"
"37-704 Aleutians No. 1","3","8","1","7","0"
"37-706 Aleutians No. 2","32","306","1","192","3"
"37-707 Aniak","14","48","1","42","2"
"37-708 Chignik","3","5","1","7","0"
"37-709 Chuathbaluk","4","11","0","3","1"
"37-710 Clark's Point","5","8","0","6","0"
"37-712 Cold Bay","0","13","1","6","0"
"37-713 Crooked Creek","1","5","0","13","0"
"37-714 Dillingham","56","278","6","208","2"
"37-716 Egegik","0","10","0","1","0"
"37-718 Ekwok","2","23","0","9","0"
"37-719 Goodnews Bay","18","23","1","14","2"
"37-720 King Cove","3","82","1","21","4"
"37-722 King Salmon","11","82","2","33","0"
"37-724 Koliganek","8","40","0","24","0"
"37-726 Lake Iliamna No. 1","5","75","0","22","1"
"37-728 Lake Iliamna No. 2","11","40","1","24","2"
"37-730 Levelock","4","7","0","12","1"
"37-731 Lower Kalskag","15","34","1","11","0"
"37-732 Manokotak","5","78","0","18","3"
"37-734 Naknek","10","92","1","38","1"
"37-736 New Stuyahok","2","8","1","42","0"
"37-738 Nondalton","13","13","0","11","7"
"37-740 Pedro Bay","1","9","0","4","0"
"37-742 Port Heiden","4","12","0","8","0"
"37-744 Sand Point","7","84","2","30","0"
