"1","Kennedy/Shanahan","Sonski/Onak","Blank","Exhausted","Overvote"
"District 13 - Absentee","238","100","9","1311","2"
"District 13 - Early Voting","252","79","7","1050","4"
"District 13  - Question","85","29","2","225","5"
"District 14 - Absentee","270","146","10","1425","10"
"District 14 - Early Voting","234","93","6","1296","6"
"District 14  - Question","142","31","3","248","10"
"District 15 - Absentee","322","113","17","1691","2"
"District 15 - Early Voting","267","96","5","1373","2"
"District 15  - Question","82","20","3","174","4"
"District 16 - Absentee","295","131","12","1815","5"
"District 16 - Early Voting","262","117","10","1438","10"
"District 16  - Question","84","25","1","188","4"
"District 17 - Absentee","282","118","12","1850","7"
"District 17 - Early Voting","320","133","4","1634","14"
"District 17  - Question","97","41","4","241","16"
"District 18 - Absentee","274","97","5","1192","3"
"District 18 - Early Voting","88","31","0","387","2"
"District 18  - Question","249","44","3","536","3"
"District 19 - Absentee","192","77","3","859","13"
"District 19 - Early Voting","121","75","2","627","5"
"District 19  - Question","96","26","3","265","11"
"District 2 - Absentee","712","230","25","3685","21"
"District 2 - Early Voting","16","3","0","56","1"
"District 2  - Question","80","15","2","170","5"
"District 20 - Absentee","265","118","6","1413","4"
"District 20 - Early Voting","219","96","3","976","6"
"District 20  - Question","100","39","2","225","7"
"District 21 - Absentee","332","170","7","1959","7"
"District 21 - Early Voting","224","91","4","1213","9"
"District 21  - Question","108","32","4","247","11"
"District 22 - Absentee","208","103","7","899","8"
"District 22 - Early Voting","156","51","3","708","5"
"District 22  - Question","95","34","3","176","6"
"District 23 - Absentee","423","159","15","2137","4"
"District 23 - Early Voting","563","149","12","2788","5"
"District 23  - Question","107","25","0","191","1"
"District 24 - Absentee","331","109","14","1594","2"
"District 24 - Early Voting","453","146","12","2644","5"
"District 24  - Question","83","32","4","216","0"
"District 25 - Absentee","251","77","13","1249","7"
"District 25 - Early Voting","504","158","9","2753","2"
"District 25  - Question","123","21","2","288","3"
"District 26 - Absentee","236","58","5","1081","7"
"District 26 - Early Voting","454","87","7","2146","4"
"District 26  - Question","102","22","2","298","2"
"District 27 - Absentee","211","86","6","1008","0"
"District 27 - Early Voting","440","126","5","2162","7"
"District 27  - Question","139","39","2","315","2"
"District 28 - Absentee","226","66","4","1092","5"
"District 28 - Early Voting","479","132","12","2420","2"
"District 28  - Question","114","24","2","296","1"
"District 29 - Absentee","343","85","14","1579","6"
"District 29 - Early Voting","424","99","10","2273","6"
"District 29  - Question","116","12","5","250","3"
"District 3 - Absentee","340","160","8","2175","2"
"District 3 - Early Voting","449","190","14","2902","5"
"District 3  - Question","73","31","1","200","3"
"District 31 - Absentee","204","92","14","853","5"
"District 31 - Early Voting","368","138","10","1432","19"
"District 31  - Question","93","21","2","209","3"
"District 32 - Absentee","169","87","5","750","4"
"District 32 - Early Voting","216","78","4","790","6"
"District 32  - Question","285","91","4","461","1"
"District 33 - Absentee","230","67","5","964","1"
"District 33 - Early Voting","346","87","4","1253","3"
"District 33  - Question","83","26","0","192","4"
"District 34 - Absentee","237","95","16","1214","6"
"District 34 - Early Voting","438","138","7","1955","7"
"District 34  - Question","220","34","4","423","2"
"District 35 - Absentee","216","96","5","1099","5"
"District 35 - Early Voting","401","210","8","2045","6"
"District 35  - Question","98","27","1","200","0"
"District 38 - Absentee","125","40","4","364","3"
"District 38 - Early Voting","12","3","0","15","0"
"District 38  - Question","100","25","2","137","6"
"District 4 - Absentee","184","112","8","1362","2"
"District 4 - Early Voting","454","234","15","3141","12"
"District 4  - Question","109","50","5","259","4"
"District 40 - Absentee","97","29","4","317","2"
"District 40 - Early Voting","10","2","1","32","1"
"District 40  - Question","65","31","2","151","3"
"District 5 - Absentee","530","142","28","2428","13"
"District 5 - Early Voting","8","3","0","51","0"
"District 5  - Question","115","19","1","229","3"
"District 6 - Absentee","298","113","21","1955","2"
"District 6 - Early Voting","481","160","14","3413","1"
"District 6  - Question","73","15","1","251","0"
"District 7 - Absentee","273","88","8","1333","5"
"District 7 - Early Voting","580","139","20","2897","9"
"District 7  - Question","80","14","2","200","1"
"District 8 - Absentee","312","98","16","1841","3"
"District 8 - Early Voting","464","127","11","2571","5"
"District 8  - Question","39","14","1","142","1"
"District 9 - Absentee","438","188","31","2640","3"
"District 9 - Early Voting","281","98","8","1774","1"
"District 9  - Question","72","20","1","160","0"
"HD99 Fed Overseas Absentee","36","44","0","321","0"
"House District 30 - Judicial District 3","637","159","28","3539","17"
"House District 30 - Judicial District 4","81","28","1","432","2"
"House District 36 - Judicial District 3","134","31","7","548","1"
"House District 36 - Judicial District 4","465","168","18","2100","14"
"House District 37 - Judicial District 3","261","62","6","900","12"
"House District 37 - Judicial District 4","47","11","1","138","2"
"House District 39 - Judicial District 2","172","61","7","525","11"
"House District 39 - Judicial District 4","52","12","0","64","4"
"Total","62468","19858","1888","255194","1370"
