"1","Oliver/Maat","Trump/Vance","Blank","Exhausted","Overvote"
"39-940 St. Mary's","25","31","2","57","2"
"39-942 St. Michael","9","35","3","15","3"
"39-944 Stebbins","18","41","0","12","2"
"39-946 Teller","12","15","0","9","0"
"39-948 Unalakleet","34","105","1","77","4"
"39-950 Wales","1","4","0","3","0"
"39-952 White Mountain","18","26","0","25","0"
"40-002 Ambler","4","23","3","12","2"
"40-004 Anaktuvuk Pass","4","27","2","24","1"
"40-006 Atqasuk","1","26","1","8","1"
"40-008 Utqiagvik","43","134","0","71","1"
"40-010 Browerville","106","363","3","170","5"
"40-012 Buckland","19","43","0","20","2"
"40-014 Deering","13","14","0","9","1"
"40-016 Kaktovik","1","59","0","13","0"
"40-018 Kiana","1","28","1","30","0"
"40-020 Kivalina","12","28","1","19","2"
"40-022 Kobuk","3","16","0","18","1"
"40-024 Kotzebue","101","265","6","198","4"
"40-026 Noatak","14","70","2","15","4"
"40-028 Noorvik","13","59","2","22","0"
"40-030 Nuiqsut","5","16","2","17","4"
"40-032 Point Hope","3","67","1","49","0"
"40-034 Point Lay","6","19","0","4","1"
"40-036 Selawik","3","62","0","12","1"
"40-038 Shungnak","10","21","0","13","6"
"40-040 Wainwright","10","97","0","20","2"
"District 1 - Absentee","268","1656","15","1092","12"
"District 1 - Early Voting","3","8","0","9","0"
"District 1  - Question","55","319","2","121","1"
"District 10 - Absentee","226","758","22","963","3"
"District 10 - Early Voting","151","832","4","567","3"
"District 10  - Question","33","148","2","71","4"
"District 11 - Absentee","269","952","31","1303","4"
"District 11 - Early Voting","180","942","9","651","2"
"District 11  - Question","25","149","0","63","1"
"District 12 - Absentee","244","710","9","1016","4"
"District 12 - Early Voting","167","787","2","643","1"
"District 12  - Question","31","140","3","63","3"
"District 13 - Absentee","211","584","9","855","1"
"District 13 - Early Voting","163","727","7","491","4"
"District 13  - Question","36","209","2","94","5"
"District 14 - Absentee","254","511","10","1077","9"
"District 14 - Early Voting","184","632","6","807","6"
"District 14  - Question","79","230","3","114","8"
"District 15 - Absentee","226","849","17","1050","3"
"District 15 - Early Voting","166","916","5","654","2"
"District 15  - Question","30","176","3","70","4"
"District 16 - Absentee","271","704","12","1269","2"
"District 16 - Early Voting","216","737","10","866","8"
"District 16  - Question","39","179","1","79","4"
"District 17 - Absentee","272","614","12","1364","7"
"District 17 - Early Voting","276","663","4","1148","14"
"District 17  - Question","66","180","4","137","12"
"District 18 - Absentee","161","818","5","584","3"
"District 18 - Early Voting","50","245","0","211","2"
"District 18  - Question","55","617","3","156","4"
"District 19 - Absentee","162","335","3","633","11"
"District 19 - Early Voting","112","296","2","416","4"
"District 19  - Question","38","208","3","145","7"
"District 2 - Absentee","437","2102","25","2089","20"
"District 2 - Early Voting","12","34","0","29","1"
"District 2  - Question","36","157","2","70","7"
"District 20 - Absentee","217","633","6","945","5"
"District 20 - Early Voting","178","589","3","523","7"
"District 20  - Question","52","199","2","114","6"
"District 21 - Absentee","296","840","7","1326","6"
"District 21 - Early Voting","175","716","4","638","8"
"District 21  - Question","50","218","4","122","8"
"District 22 - Absentee","179","491","7","541","7"
"District 22 - Early Voting","106","465","3","345","4"
"District 22  - Question","38","197","3","72","4"
"District 23 - Absentee","291","1342","15","1088","2"
"District 23 - Early Voting","270","2246","12","986","3"
"District 23  - Question","43","213","0","67","1"
"District 24 - Absentee","215","1111","14","708","2"
"District 24 - Early Voting","232","2230","12","781","5"
"District 24  - Question","33","230","4","68","0"
"District 25 - Absentee","144","888","13","545","7"
"District 25 - Early Voting","283","2261","9","871","2"
"District 25  - Question","35","338","2","60","2"
"District 26 - Absentee","94","909","5","375","4"
"District 26 - Early Voting","151","2148","7","388","4"
"District 26  - Question","34","335","2","54","1"
"District 27 - Absentee","105","881","6","316","3"
"District 27 - Early Voting","147","2145","5","436","7"
"District 27  - Question","34","419","2","40","2"
"District 28 - Absentee","118","889","4","379","3"
"District 28 - Early Voting","194","2301","12","537","1"
"District 28  - Question","33","350","2","51","1"
"District 29 - Absentee","180","1210","14","618","5"
"District 29 - Early Voting","147","2138","10","512","5"
"District 29  - Question","28","297","5","55","1"
"District 3 - Absentee","301","885","8","1488","3"
"District 3 - Early Voting","293","1457","14","1793","3"
"District 3  - Question","46","152","1","106","3"
"District 31 - Absentee","147","559","14","444","4"
"District 31 - Early Voting","240","960","10","739","18"
"District 31  - Question","39","201","2","83","3"
"District 32 - Absentee","104","576","5","326","4"
"District 32 - Early Voting","120","679","4","287","4"
"District 32  - Question","70","676","4","90","2"
"District 33 - Absentee","115","757","5","388","2"
"District 33 - Early Voting","131","1238","4","318","2"
"District 33  - Question","30","234","0","38","3"
"District 34 - Absentee","174","756","16","618","4"
"District 34 - Early Voting","238","1404","7","889","7"
"District 34  - Question","53","510","4","115","1"
"District 35 - Absentee","165","549","5","698","4"
"District 35 - Early Voting","347","1118","8","1190","7"
"District 35  - Question","45","196","1","84","0"
"District 38 - Absentee","89","191","4","249","3"
"District 38 - Early Voting","8","14","0","8","0"
"District 38  - Question","39","166","2","58","5"
"District 4 - Absentee","198","378","8","1081","3"
"District 4 - Early Voting","410","1102","15","2318","11"
"District 4  - Question","71","206","5","142","3"
"District 40 - Absentee","48","202","4","193","2"
"District 40 - Early Voting","5","22","1","17","1"
"District 40  - Question","21","162","2","63","4"
"District 5 - Absentee","307","1554","28","1242","10"
"District 5 - Early Voting","7","35","0","20","0"
"District 5  - Question","34","267","1","62","3"
"District 6 - Absentee","215","1114","21","1037","2"
"District 6 - Early Voting","307","2153","14","1593","2"
"District 6  - Question","27","240","1","72","0"
"District 7 - Absentee","124","1101","8","469","5"
"District 7 - Early Voting","224","2627","20","768","6"
"District 7  - Question","24","241","2","29","1"
"District 8 - Absentee","158","1441","16","652","3"
"District 8 - Early Voting","131","2473","11","560","3"
"District 8  - Question","8","171","1","16","1"
"District 9 - Absentee","345","1267","31","1655","2"
"District 9 - Early Voting","173","1104","8","876","1"
"District 9  - Question","33","145","1","74","0"
"HD99 Fed Overseas Absentee","66","53","0","282","0"
"House District 30 - Judicial District 3","254","3102","28","982","14"
"House District 30 - Judicial District 4","57","250","1","234","2"
"House District 36 - Judicial District 3","61","423","7","229","1"
"House District 36 - Judicial District 4","262","1543","18","928","14"
"House District 37 - Judicial District 3","139","659","6","429","8"
"House District 37 - Judicial District 4","29","94","1","73","2"
"House District 39 - Judicial District 2","110","336","7","312","11"
"House District 39 - Judicial District 4","16","79","0","34","3"
"Total","34052","192513","1888","111144","1181"
