"1","Oliver/Maat","Sonski/Onak","Blank","Exhausted","Overvote"
"District 28 - Absentee","168","76","4","1142","3"
"District 28 - Early Voting","306","145","12","2578","4"
"District 28  - Question","71","38","2","325","1"
"District 29 - Absentee","263","68","14","1677","5"
"District 29 - Early Voting","286","86","10","2423","7"
"District 29  - Question","68","20","5","290","3"
"District 3 - Absentee","336","100","8","2239","2"
"District 3 - Early Voting","338","158","14","3046","4"
"District 3  - Question","58","19","1","227","3"
"District 31 - Absentee","175","64","14","910","5"
"District 31 - Early Voting","306","120","10","1512","19"
"District 31  - Question","73","22","2","228","3"
"District 32 - Absentee","167","64","5","774","5"
"District 32 - Early Voting","180","63","4","838","9"
"District 32  - Question","192","105","4","538","3"
"District 33 - Absentee","179","65","5","1016","2"
"District 33 - Early Voting","243","79","4","1363","4"
"District 33  - Question","57","32","0","212","4"
"District 34 - Absentee","236","64","16","1248","4"
"District 34 - Early Voting","349","117","7","2064","8"
"District 34  - Question","122","59","4","496","2"
"District 35 - Absentee","203","53","5","1155","5"
"District 35 - Early Voting","395","143","8","2117","7"
"District 35  - Question","71","24","1","229","1"
"District 38 - Absentee","108","40","4","381","3"
"District 38 - Early Voting","7","7","0","16","0"
"District 38  - Question","74","30","2","157","7"
"District 4 - Absentee","184","68","8","1405","3"
"District 4 - Early Voting","402","193","15","3236","10"
"District 4  - Question","83","49","5","286","4"
"District 40 - Absentee","71","26","4","346","2"
"District 40 - Early Voting","6","5","1","33","1"
"District 40  - Question","46","37","2","163","4"
"District 5 - Absentee","422","103","28","2574","14"
"District 5 - Early Voting","10","2","0","50","0"
"District 5  - Question","68","23","1","272","3"
"District 6 - Absentee","246","81","21","2038","3"
"District 6 - Early Voting","368","126","14","3558","3"
"District 6  - Question","48","13","1","278","0"
"District 7 - Absentee","192","66","8","1437","4"
"District 7 - Early Voting","381","123","20","3111","10"
"District 7  - Question","57","19","2","218","1"
"District 8 - Absentee","238","89","16","1923","4"
"District 8 - Early Voting","264","119","11","2779","5"
"District 8  - Question","30","14","1","151","1"
"District 9 - Absentee","403","118","31","2744","4"
"District 9 - Early Voting","230","76","8","1847","1"
"District 9  - Question","50","16","1","186","0"
"HD99 Fed Overseas Absentee","59","18","0","324","0"
"House District 30 - Judicial District 3","462","148","28","3726","16"
"House District 30 - Judicial District 4","66","25","1","450","2"
"House District 36 - Judicial District 3","84","34","7","595","1"
"House District 36 - Judicial District 4","360","160","18","2213","14"
"House District 37 - Judicial District 3","189","65","6","968","13"
"House District 37 - Judicial District 4","38","8","1","150","2"
"House District 39 - Judicial District 2","156","42","7","560","11"
"House District 39 - Judicial District 4","30","18","0","79","5"
"Total","47868","17724","1888","271830","1468"
