"1","Begich","Hafner","Blank","Exhausted","Overvote"
"District 35 - Early Voting","1109","625","26","905","5"
"District 35  - Question","141","49","12","81","1"
"District 38 - Absentee","174","126","9","217","3"
"District 38 - Early Voting","9","11","0","10","0"
"District 38  - Question","130","32","7","60","3"
"District 4 - Absentee","383","378","22","848","3"
"District 4 - Early Voting","1064","905","38","1839","10"
"District 4  - Question","158","82","12","112","2"
"District 40 - Absentee","185","85","10","162","0"
"District 40 - Early Voting","19","9","2","16","0"
"District 40  - Question","103","37","9","58","0"
"District 5 - Absentee","1455","519","66","1033","11"
"District 5 - Early Voting","35","9","1","17","0"
"District 5  - Question","171","35","8","50","3"
"District 6 - Absentee","1048","414","62","828","5"
"District 6 - Early Voting","2054","672","56","1287","0"
"District 6  - Question","133","29","35","63","1"
"District 7 - Absentee","1021","203","37","411","3"
"District 7 - Early Voting","2471","339","69","760","6"
"District 7  - Question","139","31","22","35","1"
"District 8 - Absentee","1384","288","36","521","4"
"District 8 - Early Voting","2394","260","41","480","3"
"District 8  - Question","109","6","9","20","0"
"District 9 - Absentee","1289","581","42","1373","3"
"District 9 - Early Voting","1103","331","16","710","2"
"District 9  - Question","101","47","4","57","0"
"HD99 Fed Overseas Absentee","68","150","15","164","1"
"House District 30 - Judicial District 3","2853","436","107","904","7"
"House District 30 - Judicial District 4","238","120","5","169","2"
"House District 36 - Judicial District 3","400","98","6","193","0"
"House District 36 - Judicial District 4","1409","449","45","769","11"
"House District 37 - Judicial District 3","563","193","32","383","6"
"House District 37 - Judicial District 4","79","35","5","71","1"
"House District 39 - Judicial District 2","286","155","17","280","4"
"House District 39 - Judicial District 4","65","23","1","26","1"
"Total","177242","53510","5788","98584","729"
