"1","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Blank","Overvote"
"2","","Hafner","Hafner","Hafner","Hafner","Howe","Howe","Howe","Howe","Overvote","Peltola","Peltola","Peltola","Peltola","","Begich","Begich","Begich","Begich","Howe","Howe","Howe","Howe","Overvote","Peltola","Peltola","Peltola","Peltola","","Begich","Begich","Begich","Begich","Hafner","Hafner","Hafner","Hafner","Overvote","Peltola","Peltola","Peltola","Peltola","","Begich","Begich","Begich","Begich","Hafner","Hafner","Hafner","Hafner","Howe","Howe","Howe","Howe","Overvote","",""
"3","","","Howe","Overvote","Peltola","","Hafner","Overvote","Peltola","","","Hafner","Howe","Overvote","","","Howe","Overvote","Peltola","","Begich","Overvote","Peltola","","","Begich","Howe","Overvote","","","Hafner","Overvote","Peltola","","Begich","Overvote","Peltola","","","Begich","Hafner","Overvote","","","Hafner","Howe","Overvote","","Begich","Howe","Overvote","","Begich","Hafner","Overvote","","",""
"08-065 Moose Pass","61","0","0","0","0","9","2","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","2","0","0","0","0","0","0","0","0","0","0","0","0","55","0","1","1","0","10","0","5","0","3","2","1","0","0","2","0"
"08-070 Nikiski","461","3","10","0","0","51","32","0","9","0","7","2","2","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","20","21","6","0","1","0","1","0","0","0","0","5","1","0","94","8","3","2","0","14","1","15","0","3","2","10","0","0","17","0"
"08-075 Salamatof","443","2","13","0","1","33","25","0","5","1","4","5","4","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","36","11","1","0","4","2","5","0","2","0","0","3","3","0","73","4","2","2","0","16","1","33","0","5","6","6","0","0","14","1"
"08-080 Sterling No. 1","401","2","5","0","0","51","24","0","5","0","8","6","0","0","2","0","0","0","0","0","0","0","0","0","1","0","1","0","16","10","2","0","1","1","4","0","0","0","2","1","2","0","87","6","3","2","1","15","7","17","0","4","2","7","0","0","11","0"
"08-085 Sterling No. 2","500","2","6","0","0","51","22","1","6","0","6","4","3","0","3","0","0","0","0","0","1","0","0","0","1","0","0","0","22","6","2","0","2","0","0","0","0","0","1","1","0","0","95","10","6","4","0","17","0","14","0","7","1","5","0","0","19","0"
"09-105 Girdwood","127","1","6","0","1","18","8","0","3","0","5","2","4","0","3","0","0","0","0","0","0","0","2","0","2","0","3","0","6","3","0","0","2","0","0","0","0","0","1","1","1","0","310","17","10","5","0","89","9","97","0","21","15","43","0","0","14","1"
"09-110 Indian","39","0","1","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","1","0","0","0","0","0","1","0","0","0","57","1","0","0","0","7","0","8","0","2","0","3","0","0","4","0"
"09-115 South Anchorage No. 1","433","4","13","0","2","48","24","0","16","0","20","5","7","0","3","0","0","0","0","1","0","0","1","0","4","0","3","0","12","8","1","0","6","1","0","0","2","0","1","1","0","0","288","19","15","8","0","46","3","74","0","11","11","41","0","1","7","0"
"09-120 South Anchorage No. 2","561","4","17","0","1","44","30","0","8","0","9","1","2","0","3","1","0","0","1","0","2","0","0","0","2","0","0","0","15","5","3","1","2","1","1","0","1","0","0","1","0","0","249","34","13","10","1","52","17","61","0","11","8","34","0","0","9","1"
"09-125 South Anchorage No. 3","422","0","7","0","1","55","22","0","9","0","5","1","7","0","2","0","0","0","0","1","0","0","1","0","1","0","2","0","15","5","1","0","1","1","1","0","3","0","0","1","1","0","263","18","5","10","0","52","6","65","0","10","7","25","0","0","8","1"
