"1","Begich","Begich","Begich","Begich","Howe","Howe","Howe","Howe","Peltola","Peltola","Peltola","Peltola","Blank","Exhausted","Overvote"
"2","","Howe","Overvote","Peltola","","Begich","Overvote","Peltola","","Begich","Howe","Overvote","","",""
"26-375 Mat-Su Campus","319","70","0","12","12","15","0","3","124","13","52","0","10","2","1"
"26-380 Snowshoe","542","100","1","18","39","32","0","14","136","30","52","0","20","3","0"
"27-405 Foothills","409","92","0","10","17","21","0","7","97","7","43","0","10","3","0"
"27-410 Meadow Lakes No. 1","613","135","0","9","43","23","0","11","139","18","62","0","11","2","1"
"27-415 Meadow Lakes No. 2","511","110","2","20","28","28","0","6","100","17","48","2","19","2","3"
"27-420 Wasilla No. 1","379","90","0","17","22","14","0","6","115","17","60","0","16","4","2"
"27-425 Wasilla No. 2","498","107","0","25","36","22","0","9","147","23","55","0","18","3","0"
"28-450 Lakes No. 1","306","81","0","16","12","13","0","7","83","22","43","0","5","2","0"
"28-455 Lakes No. 2","222","33","0","10","11","8","0","6","64","16","30","0","5","1","0"
"28-460 Seldon No. 1","575","88","0","21","29","15","0","6","118","24","50","0","21","3","3"
"28-465 Seldon No. 2","432","131","0","25","42","19","0","7","165","37","78","0","12","1","1"
"28-470 Seward Meridian","205","43","0","7","15","5","0","2","81","16","23","0","6","0","0"
"28-475 Trunk","350","95","1","14","17","22","0","10","135","23","72","1","16","2","1"
"28-480 Wasilla Lake","206","49","0","12","22","8","0","4","55","9","28","0","1","1","0"
"29-505 Farm Loop","527","147","0","17","27","16","0","4","139","22","66","0","11","0","1"
"29-510 Fishhook","715","149","0","17","35","30","0","6","266","39","105","0","29","5","2"
"29-515 Kings Lake","465","128","1","17","13","18","0","7","135","25","60","0","15","1","0"
"29-520 Lakes No. 3","191","38","0","8","4","12","0","5","47","9","31","0","6","2","0"
"29-525 Sheep Mountain","104","14","0","0","2","2","0","0","21","2","3","0","2","0","0"
"29-530 Sutton","254","60","0","6","14","5","0","3","98","8","43","0","11","1","1"
"29-535 Valdez No. 1","206","40","0","9","10","9","0","6","130","20","36","0","9","0","0"
"29-540 Valdez No. 2","92","12","0","6","4","6","0","1","62","5","30","0","4","1","1"
"29-545 Valdez No. 3","156","36","0","8","10","9","0","2","101","16","30","0","6","5","0"
"30-550 Anderson/Clear","77","11","0","0","6","5","0","0","25","1","7","0","4","1","0"
"30-555 Big Lake","657","130","1","25","41","27","0","24","162","22","66","0","30","6","3"
"30-560 Cantwell","25","8","0","3","0","0","0","0","36","2","11","0","1","0","0"
"30-565 Denali Park","4","2","0","2","1","2","0","1","43","2","15","0","0","0","0"
"30-570 East Schrock","42","20","0","4","1","4","0","0","7","2","8","0","0","2","0"
"30-575 Healy","157","45","0","11","8","15","0","3","90","10","28","0","6","1","0"
"30-580 Houston","275","54","0","11","26","22","0","3","69","12","34","0","15","3","1"
"30-585 Knik Goose Bay No. 4","606","139","0","25","33","23","0","9","160","28","66","0","23","3","0"
"30-590 Trapper Creek","66","5","0","1","5","2","0","2","23","2","6","1","6","0","0"
"30-595 Susitna","255","49","0","3","27","8","0","2","99","11","29","0","10","4","0"
"30-600 Talkeetna","62","17","0","2","8","4","0","2","114","7","40","0","2","2","0"
"30-605 Willow","523","114","1","12","40","21","0","5","183","16","45","0","28","2","6"
"31-446 Aurora","314","58","0","21","28","17","0","13","300","41","87","0","10","3","0"
"31-455 Fairbanks No. 1","281","60","0","21","25","20","0","14","348","38","114","2","13","3","2"
"31-480 Fairbanks No. 2","295","88","0","25","17","16","0","21","288","37","116","1","6","4","0"
"31-485 Fairbanks No. 3","243","75","3","19","22","17","0","20","279","54","114","1","22","4","1"
"32-355 Fairbanks No. 4","294","77","0","20","16","11","0","10","215","35","112","0","9","4","1"
"32-365 Fairbanks No. 5","189","51","0","15","12","12","0","9","187","30","70","0","8","6","0"
"32-375 Fort Wainwright","139","67","0","16","8","11","0","6","52","29","33","0","14","1","1"
"32-385 Badger No. 2","535","143","1","36","42","42","0","10","207","45","97","0","19","2","1"
"33-130 Badger No. 1","566","167","3","26","35","30","0","18","183","35","98","0","16","5","1"
"33-135 Chena Lakes","632","182","0","29","35","29","0","8","142","31","76","0","11","3","1"
"33-155 Moose Creek","76","15","0","3","8","3","0","2","18","4","13","0","2","4","0"
"33-165 Newby","665","178","0","26","39","23","0","15","159","28","97","0","15","3","1"
"33-175 North Pole","372","110","0","11","24","18","0","9","84","29","65","0","13","3","0"
"33-183 Plack","601","211","0","17","22","39","0","5","128","30","61","0","22","2","0"
"34-235 Eielson","124","62","0","17","11","7","0","6","50","10","31","0","12","2","0"
"34-238 Eielson Farm Road","38","7","0","0","0","1","0","0","5","4","3","0","0","0","0"
"34-240 Farmers Loop","259","75","0","14","13","13","0","4","370","33","116","0","12","2","0"
"34-260 Salcha","303","67","0","11","15","12","0","4","75","8","27","0","11","2","1"
"34-263 Steele Creek","436","118","1","17","24","26","0","10","257","45","102","0","8","2","3"
"34-265 Steese","387","108","0","20","36","18","0","10","262","38","120","0","22","5","1"
"34-270 Summit","322","101","1","23","24","22","0","19","229","34","87","0","15","2","1"
"34-280 Two Rivers","216","58","0","12","7","16","0","11","124","8","37","0","13","1","0"
"35-580 Airport","135","32","0","8","8","5","0","3","89","8","39","0","6","1","1"
"35-582 Chena","486","132","0","27","15","23","0","16","481","66","162","0","19","3","2"
"35-584 Ester","149","35","0","5","10","7","0","9","229","20","94","0","6","3","0"
"35-586 Geist","195","40","0","12","12","13","0","9","194","26","72","0","5","2","0"
"35-587 Lakeview","53","14","0","2","11","2","0","0","27","5","6","0","2","1","0"
"35-592 Shanly","109","47","0","11","6","6","0","2","161","16","66","0","7","0","1"
"35-595 University Hills","145","49","0","13","6","10","0","6","248","26","107","0","7","3","0"
"35-596 University West","390","114","1","36","24","26","0","9","421","72","189","0","6","3","0"
"36-001 Goldstream No. 1","190","69","0","9","6","14","0","10","234","20","88","0","8","2","1"
"36-002 Goldstream No. 2","164","60","0","15","17","10","0","6","349","24","122","0","10","0","1"
"36-010 Allakaket","0","0","0","0","1","0","0","0","26","8","5","0","0","0","0"
"36-014 Anvik","1","0","0","1","0","1","0","0","12","4","5","0","0","1","0"
"36-018 Arctic Village","3","0","0","1","0","0","0","0","42","2","4","0","0","1","0"
"36-022 Beaver","2","0","0","0","0","0","0","0","9","4","1","0","0","0","1"
"36-026 Bettles","4","1","0","0","0","0","0","0","3","0","3","0","0","0","0"
"36-034 Central","25","4","0","0","2","0","0","0","6","1","1","0","1","1","0"
"36-038 Chistochina","34","3","0","1","3","3","0","1","20","0","2","0","2","2","0"
"36-042 Circle","2","0","0","0","2","0","0","0","9","2","4","0","1","0","0"
"36-046 Copper Center","159","40","1","3","13","9","0","0","74","17","34","1","3","0","0"
"36-050 Delta Junction","203","55","0","9","14","11","0","2","25","9","17","0","10","1","2"
"36-054 Deltana","749","169","0","18","43","23","0","4","111","26","35","1","19","0","0"
"36-058 Dot Lake","37","5","0","0","1","0","0","0","3","0","1","0","2","0","0"
"36-062 Eagle","38","3","0","0","0","0","0","2","19","1","4","0","2","0","0"
"36-066 Fort Yukon","14","1","0","1","1","0","0","0","109","3","5","1","3","1","1"
"36-070 Gakona","56","5","0","2","3","3","0","0","26","2","6","0","5","2","0"
"36-074 Galena","28","8","0","5","3","5","0","0","66","10","17","0","3","1","0"
"36-078 Glennallen","77","36","0","1","11","5","0","2","29","5","8","0","5","0","0"
"36-082 Grayling","6","5","0","1","5","0","0","1","22","9","5","0","0","0","1"
"36-086 Holy Cross","3","1","0","1","0","0","0","1","18","10","6","0","0","1","0"
"36-090 Hughes","4","0","0","1","3","0","0","0","20","0","0","0","1","1","0"
"36-094 Huslia","11","1","0","1","4","0","0","0","49","12","9","0","6","1","1"
"36-098 Kaltag","6","1","0","0","1","0","0","0","19","6","5","0","2","0","0"
"36-102 Kenny Lake","85","23","0","2","5","6","0","4","46","1","8","0","3","2","0"
"36-106 Koyukuk","3","0","0","0","0","1","0","1","15","4","4","0","1","0","0"
"36-110 Manley","31","0","0","0","2","1","0","0","11","1","0","0","1","0","0"
"36-114 McGrath","43","12","0","1","0","2","0","1","23","2","4","0","5","1","0"
"36-118 Mentasta","8","4","0","1","0","0","0","0","21","1","4","0","0","0","0"
"36-122 Minto","11","1","0","1","3","0","0","1","20","4","7","0","2","1","0"
