"1","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Blank","Overvote"
"27-410 Meadow Lakes No. 1","359","7","0","9","6","0","229","32","1","60","8","4","0","9","22","5","0","1","3","0","0","3","0","5","40","6","0","19","19","43","1","0","10","1","3","0","1","0","2","2","0","0","9","5","2","0","3","12","5","0","8","0","3","4","2","0","8","3"
"27-415 Meadow Lakes No. 2","270","3","0","9","0","0","198","32","1","33","6","3","0","7","22","4","0","1","4","0","1","3","0","1","24","11","0","11","14","28","2","0","6","1","2","0","0","1","0","2","1","0","8","2","2","0","4","10","7","0","4","0","1","5","2","0","9","0"
"27-420 Wasilla No. 1","241","3","0","8","3","0","185","33","0","35","3","6","0","6","25","2","0","2","6","0","2","4","0","0","22","12","0","12","9","20","3","0","5","1","1","0","0","0","0","1","1","0","19","3","4","0","2","17","4","0","4","0","1","3","3","0","6","1"
"27-425 Wasilla No. 2","333","7","0","6","8","1","252","31","0","64","13","6","0","9","27","6","0","6","6","0","0","2","0","1","32","10","0","15","24","18","5","0","6","1","0","0","1","0","1","4","3","0","23","4","4","0","7","14","4","0","11","0","1","5","1","0","11","2"
"28-450 Lakes No. 1","161","6","0","3","2","1","170","19","0","23","5","6","0","5","19","4","0","6","1","0","1","2","0","0","16","11","0","6","6","14","1","0","8","1","0","0","0","0","0","1","1","0","7","5","4","0","2","20","4","0","5","0","0","1","0","0","6","2"
"28-455 Lakes No. 2","157","6","0","3","3","0","113","15","1","18","9","3","0","8","9","4","0","2","2","0","2","0","0","3","15","6","0","6","1","13","3","0","3","0","2","0","0","0","0","1","0","0","3","3","3","0","2","12","3","0","2","0","0","2","0","0","0","0"
"28-460 Seldon No. 1","278","3","0","12","2","1","213","26","0","32","9","5","0","10","29","4","0","2","4","0","0","0","0","1","23","5","0","14","10","25","2","0","10","0","1","0","0","0","2","2","0","0","7","3","3","0","2","13","1","0","7","0","1","3","2","0","2","1"
"28-465 Seldon No. 2","329","10","0","14","11","1","254","41","0","30","12","8","0","8","34","5","0","7","5","0","3","6","0","7","54","22","0","14","22","26","3","0","8","1","3","0","0","0","1","4","4","0","19","4","8","0","3","13","12","0","9","0","4","0","1","0","8","0"
"28-470 Seward Meridian","135","2","0","1","4","0","113","17","0","23","6","4","0","9","11","2","0","2","1","0","1","1","0","4","25","7","0","6","5","7","0","0","4","0","0","0","0","0","0","1","0","0","6","2","4","0","2","7","4","0","1","1","0","1","0","0","5","0"
"28-475 Trunk","215","2","0","14","5","1","201","28","0","45","17","7","0","10","20","3","0","3","7","0","1","0","0","4","44","12","0","9","4","19","3","0","8","1","1","0","0","0","0","3","0","0","15","2","9","0","4","15","9","0","5","0","1","1","0","0","7","1"
"28-480 Wasilla Lake","156","0","0","2","4","0","91","9","0","14","3","4","0","6","15","2","0","0","1","0","0","1","0","1","18","8","0","7","4","10","1","0","1","0","0","0","0","0","0","1","0","0","6","2","1","0","4","4","1","0","2","0","0","1","0","0","4","0"
"29-505 Farm Loop","342","6","0","15","4","0","270","39","1","56","11","2","0","12","24","0","0","4","3","0","1","0","0","2","37","12","0","19","8","27","1","0","5","1","1","0","0","0","2","1","2","0","21","3","7","0","3","33","12","0","10","0","2","1","2","0","3","1"
"29-510 Fishhook","380","8","0","16","8","1","352","52","0","68","20","6","0","19","37","5","0","1","3","1","1","3","0","7","66","24","0","24","9","33","4","0","10","0","2","0","1","0","0","2","2","0","34","10","9","0","8","37","13","0","11","0","4","3","4","0","4","1"
"29-515 Kings Lake","312","7","0","10","4","1","244","32","1","48","8","4","0","11","20","10","0","4","4","0","0","1","0","5","29","10","0","14","17","25","2","0","3","1","0","0","1","0","1","1","1","0","12","3","8","0","4","11","7","0","7","0","0","1","3","0","3","0"
"29-520 Lakes No. 3","125","2","0","9","3","0","100","15","1","20","1","0","0","4","20","4","0","1","0","0","0","4","0","1","13","5","0","6","4","11","0","0","1","0","1","0","1","0","0","0","0","0","3","2","1","0","0","12","1","0","5","0","1","0","0","0","2","0"
"29-525 Sheep Mountain","48","0","0","0","0","0","42","1","0","7","0","0","0","1","5","0","0","0","0","0","0","0","0","1","9","2","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","4","0","0","1","0","0","0","0","0","0","0"
"29-530 Sutton","174","4","0","8","4","0","104","15","0","17","4","0","0","4","27","2","0","0","0","0","0","1","0","2","24","6","0","11","5","8","1","0","5","0","0","0","0","0","0","2","0","0","11","2","2","0","0","14","3","0","6","0","0","0","0","0","2","0"
"29-535 Valdez No. 1","91","2","0","0","1","0","44","5","0","17","13","6","0","7","7","1","0","0","2","0","0","1","0","2","28","2","0","6","2","4","1","0","1","0","1","0","1","0","0","2","0","0","46","10","7","0","12","54","9","0","22","0","1","1","5","0","3","0"
"29-540 Valdez No. 2","53","3","0","1","0","0","25","3","0","8","3","2","0","6","4","0","0","0","1","0","0","0","0","0","12","1","0","3","5","1","0","0","0","0","0","0","0","0","0","2","0","0","28","8","5","0","2","32","7","1","10","0","3","1","1","0","1","0"
"29-545 Valdez No. 3","97","1","0","3","1","0","40","6","0","18","8","2","0","5","7","0","0","1","2","0","1","1","0","0","20","1","0","6","3","1","2","0","2","0","0","0","0","0","0","0","0","0","37","7","10","0","8","26","8","0","15","0","4","3","1","0","6","0"
"30-550 Anderson/Clear","35","2","0","1","0","0","29","4","0","4","2","0","0","4","2","0","0","0","1","0","0","0","0","2","3","3","0","0","2","5","1","0","4","0","0","0","0","0","0","0","0","0","4","1","1","0","1","2","3","0","1","0","0","0","1","0","4","0"
"30-555 Big Lake","377","7","0","8","5","0","302","50","0","65","20","7","0","15","21","4","0","5","1","0","2","2","0","4","38","15","0","18","23","20","3","1","8","1","3","0","6","0","1","2","2","0","30","5","3","0","4","19","6","0","7","0","1","1","0","0","9","1"
"30-560 Cantwell","19","1","0","1","1","0","8","1","0","1","4","4","0","2","4","0","0","0","0","0","0","0","0","1","13","0","0","1","3","4","0","0","1","0","0","0","1","0","0","0","1","0","4","0","1","0","0","7","1","0","0","0","1","1","0","0","1","0"
"30-565 Denali Park","3","0","0","0","0","0","3","0","0","3","0","0","0","1","13","1","0","1","0","0","0","0","0","0","32","3","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","1","6","0","0","1","0","0","0","0","0","2","0"
"30-570 East Schrock","30","1","0","5","0","0","24","6","0","2","0","0","0","0","3","0","0","0","0","0","0","0","0","0","7","1","0","0","5","2","1","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0"
"30-575 Healy","94","1","0","0","0","0","56","3","0","22","3","1","0","9","14","1","0","1","0","0","1","1","0","0","40","5","0","6","7","4","0","0","2","0","0","0","0","0","0","0","0","0","8","1","1","0","3","30","2","0","13","0","1","1","1","0","2","0"
"30-580 Houston","183","4","0","8","2","0","141","32","0","32","12","3","0","5","22","2","0","1","4","0","2","2","0","1","16","3","0","8","12","10","2","0","3","0","0","0","0","0","0","1","0","0","11","7","1","0","0","13","3","1","7","0","1","0","0","0","10","0"
"30-585 Knik Goose Bay No. 4","328","2","0","8","4","0","250","42","0","48","11","2","0","12","28","3","0","4","3","0","2","2","0","3","34","12","0","12","28","50","4","0","6","0","0","0","1","0","0","0","4","0","13","5","5","0","5","17","6","0","2","0","3","2","1","0","11","1"
"30-590 Trapper Creek","59","1","0","3","0","0","41","4","0","6","1","1","0","4","6","1","0","1","1","0","0","0","0","0","3","3","0","0","5","1","3","0","2","0","0","0","0","0","0","1","0","0","5","0","0","0","1","3","0","0","2","0","0","0","0","0","3","0"
"30-595 Susitna","164","2","0","7","0","0","102","24","0","25","6","2","0","6","23","3","0","1","1","0","1","1","0","3","20","3","0","5","8","13","1","0","1","0","0","0","1","0","2","2","0","0","10","1","1","0","0","22","2","0","4","0","0","1","0","0","7","0"
"30-600 Talkeetna","65","1","0","2","1","0","39","5","0","5","7","3","0","4","22","1","0","0","1","0","2","2","0","2","43","7","0","17","3","0","1","0","1","0","0","0","0","0","0","1","0","0","15","2","0","0","2","46","5","0","10","0","1","0","1","0","3","0"
"30-605 Willow","326","12","0","17","11","0","182","46","1","41","10","7","0","11","34","5","0","1","4","0","1","2","0","3","47","12","0","12","22","28","4","0","7","0","1","0","1","0","0","2","2","0","20","6","3","0","0","25","7","0","12","0","3","2","1","0","8","2"
"31-446 Aurora","169","4","0","7","11","0","149","29","0","41","12","7","0","15","41","5","0","3","4","0","1","1","0","4","59","17","0","18","8","12","2","0","7","0","0","0","1","0","3","3","3","0","41","7","10","0","11","77","17","0","31","0","2","9","5","0","9","0"
"31-455 Fairbanks No. 1","172","1","0","9","7","0","126","16","0","53","14","10","0","15","37","2","0","3","4","0","0","5","0","4","77","16","0","38","6","13","2","0","5","0","2","0","0","0","3","2","1","0","68","15","5","0","12","82","19","0","42","0","3","9","2","0","11","1"
"31-480 Fairbanks No. 2","145","8","0","4","6","0","128","27","0","38","21","16","0","26","34","1","0","4","3","0","0","1","0","8","62","18","0","28","5","7","3","0","9","0","0","0","1","0","1","6","2","1","61","13","9","0","17","88","20","0","34","0","1","4","6","0","8","0"
"31-485 Fairbanks No. 3","126","4","0","13","6","0","100","24","0","36","12","11","0","21","49","2","0","7","8","0","2","3","0","3","37","18","0","36","4","17","1","0","9","0","1","0","1","0","1","3","2","0","41","9","9","0","9","52","8","0","20","0","3","2","7","1","11","2"
"32-355 Fairbanks No. 4","144","2","0","4","6","0","103","16","0","30","14","16","0","10","33","5","0","3","2","0","0","1","0","1","56","7","0","21","5","7","3","0","7","0","1","0","2","0","1","1","2","0","38","6","12","0","3","55","11","0","26","0","2","2","3","0","7","0"
"32-365 Fairbanks No. 5","130","1","0","6","6","0","84","9","0","26","23","10","0","10","20","2","0","1","2","0","1","0","0","2","35","7","0","15","4","6","1","0","2","0","1","0","0","0","0","3","1","0","32","8","4","0","3","50","11","0","22","0","1","4","5","0","4","0"
"32-375 Fort Wainwright","13","0","0","1","1","0","26","4","0","13","1","2","0","4","6","0","0","0","2","0","1","0","0","1","10","3","0","11","5","3","0","0","6","0","0","0","0","0","0","3","1","0","0","0","1","0","5","1","3","0","1","0","0","1","0","0","3","0"
"32-385 Badger No. 2","270","5","0","5","2","0","242","46","0","56","13","23","0","17","30","4","0","1","1","0","2","4","0","3","33","17","0","16","13","23","4","0","8","0","2","0","0","0","1","2","1","0","40","7","6","0","16","30","11","0","28","0","3","5","3","0","8","0"
"33-130 Badger No. 1","265","7","0","11","4","0","259","29","0","67","13","5","0","15","27","2","0","6","2","0","0","2","0","2","37","15","0","15","13","14","5","0","7","1","0","0","0","0","1","4","2","0","36","12","9","0","6","33","10","0","18","0","1","4","7","0","3","0"
"33-135 Chena Lakes","293","3","0","14","8","0","258","27","1","58","11","3","0","17","18","6","0","3","4","1","2","4","0","1","24","4","0","14","16","36","4","0","5","1","1","0","1","0","5","5","0","0","31","7","2","0","8","22","11","0","7","0","1","9","3","0","3","0"
"33-155 Moose Creek","42","0","0","2","0","0","28","3","0","7","0","1","0","1","1","1","0","0","1","0","0","0","0","0","7","1","0","1","0","6","0","0","0","0","1","0","0","0","0","0","0","0","4","2","1","0","0","0","1","0","2","0","0","0","1","0","2","0"
"33-165 Newby","337","3","0","18","5","0","296","46","0","87","17","3","0","12","27","6","0","2","3","0","2","3","0","3","37","9","0","13","17","37","3","0","14","1","1","0","2","0","0","4","2","0","22","10","10","0","8","33","14","0","18","0","2","8","2","0","2","1"
"33-175 North Pole","143","5","0","10","1","0","148","16","0","33","11","2","0","10","18","1","0","0","2","0","1","0","0","2","16","7","0","10","7","8","2","0","5","4","2","0","1","0","1","2","1","0","17","3","3","0","1","10","3","0","13","0","3","3","3","0","5","1"
"33-183 Plack","228","3","0","13","8","0","303","43","0","64","22","3","0","18","25","2","0","3","2","0","0","2","0","0","27","5","0","12","17","34","3","0","12","0","0","0","1","0","2","0","1","0","27","3","10","1","10","23","4","0","7","0","4","4","4","0","6","0"
"34-235 Eielson","23","0","0","1","0","0","60","8","0","22","2","0","0","4","6","0","0","0","1","0","0","0","0","0","8","4","0","7","1","6","3","0","5","0","0","0","0","0","0","3","0","0","3","3","0","0","0","4","1","0","4","0","0","1","1","0","1","0"
"34-238 Eielson Farm Road","15","1","0","0","0","0","16","1","0","4","1","1","0","1","1","1","0","1","0","0","0","0","0","0","3","0","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","1","6","0","0","0","0","0","0","0","0","0","0"
"34-240 Farmers Loop","125","4","0","3","3","0","106","16","0","22","16","12","0","17","28","1","0","1","2","0","1","0","0","1","121","19","1","36","7","12","1","0","2","0","1","0","1","0","1","1","0","0","39","12","6","0","9","156","23","0","60","0","3","1","2","0","7","0"
"34-260 Salcha","141","1","0","5","3","1","96","21","0","24","6","2","0","7","8","0","0","2","1","0","0","1","0","1","10","2","0","3","8","10","1","0","3","0","0","0","2","0","1","0","1","0","18","6","3","0","3","17","1","0","13","0","1","1","3","0","3","0"
"34-263 Steele Creek","215","7","0","5","5","0","250","22","0","52","15","7","0","21","20","4","0","2","3","0","0","1","0","5","68","14","0","15","11","13","4","0","9","1","1","0","3","0","1","0","0","0","43","10","10","0","18","86","18","0","28","0","3","3","4","0","8","1"
"34-265 Steese","242","3","0","9","10","0","231","20","0","48","19","1","0","21","28","0","0","4","2","0","1","2","0","6","64","8","0","29","12","19","0","0","4","0","0","0","1","0","2","1","0","0","46","9","7","0","10","99","20","0","27","0","5","6","11","0","10","1"
"34-270 Summit","161","5","0","4","4","0","167","31","0","51","19","8","0","22","13","0","0","0","2","0","1","1","0","3","49","12","0","23","15","12","3","0","6","1","0","0","1","0","1","3","0","0","35","7","7","0","5","84","8","0","34","0","2","5","6","0","6","0"
"34-280 Two Rivers","125","3","0","8","3","1","103","13","0","22","6","3","0","8","13","0","0","0","0","1","0","1","0","3","22","2","0","19","3","17","0","0","2","1","0","0","0","0","1","1","1","0","17","3","6","0","2","38","5","0","16","0","0","2","2","0","0","1"
"35-580 Airport","74","2","0","1","4","0","53","9","0","16","6","2","0","4","7","0","0","0","2","0","0","0","0","3","17","0","0","9","4","6","1","0","2","0","0","0","0","0","2","1","1","0","13","8","3","0","2","22","4","0","7","0","3","0","1","0","3","0"
"35-582 Chena","219","7","0","7","5","0","249","28","0","77","22","8","0","23","32","3","0","3","2","0","1","3","0","1","117","17","0","36","7","13","3","0","10","0","0","0","0","0","1","1","0","0","70","17","6","0","8","194","31","0","58","1","6","11","6","0","17","2"
"35-584 Ester","73","3","0","1","0","0","85","8","0","22","4","3","0","8","19","1","0","1","1","0","2","2","0","0","81","8","0","31","3","9","3","0","2","0","0","0","0","0","2","1","0","0","34","4","2","0","1","110","10","0","31","0","3","6","2","0","2","0"
"35-586 Geist","108","4","0","2","2","0","65","6","0","20","9","7","0","11","22","1","0","1","3","0","2","1","0","3","42","10","0","14","3","7","1","0","6","0","0","0","2","0","0","2","0","0","28","7","7","0","9","74","17","0","22","0","3","11","3","0","2","0"
"35-587 Lakeview","35","0","0","1","1","0","14","6","0","8","1","0","0","2","6","1","0","0","0","0","1","0","0","0","6","3","0","1","5","2","2","0","2","0","0","0","0","0","0","0","0","0","5","1","0","0","1","6","1","0","5","0","0","0","0","0","0","0"
"35-592 Shanly","43","2","0","3","2","0","58","7","0","17","4","2","0","7","25","6","0","1","2","0","0","1","0","1","36","9","0","20","2","3","3","0","2","0","0","0","0","0","0","2","0","0","28","4","7","0","0","59","6","0","15","0","2","3","3","0","0","0"
"35-595 University Hills","52","1","0","1","0","0","71","12","0","18","5","2","0","8","21","2","0","2","4","0","0","0","0","1","89","17","0","26","2","12","1","0","0","0","0","0","3","0","0","3","1","0","31","4","5","0","2","135","15","0","37","0","1","1","1","0","2","0"
"35-596 University West","204","3","0","7","13","0","169","24","0","67","23","8","0","25","49","3","0","5","4","0","4","2","0","4","115","15","0","50","17","21","2","0","11","1","0","0","0","0","3","2","1","0","67","18","15","0","13","142","32","0","42","0","8","9","6","0","7","0"
"36-001 Goldstream No. 1","83","1","0","3","2","0","111","8","0","22","4","5","0","10","15","4","0","0","1","0","1","0","0","1","78","10","0","19","6","14","0","0","7","0","1","0","1","0","1","2","0","0","46","5","11","0","5","112","12","0","24","0","1","3","1","0","4","1"
"36-002 Goldstream No. 2","87","4","0","2","2","0","73","7","0","24","5","3","0","4","29","1","0","0","3","0","0","0","0","2","103","14","0","25","3","11","0","0","6","0","0","0","1","0","0","2","0","0","29","3","9","0","7","157","18","1","50","0","4","3","3","0","2","2"
"36-010 Allakaket","11","1","0","1","0","0","0","0","0","0","0","2","0","0","6","0","0","0","2","0","0","0","0","0","2","0","0","2","1","0","0","0","1","0","0","0","0","0","0","0","0","0","16","0","4","0","0","3","0","0","2","0","0","0","1","0","1","0"
"36-014 Anvik","6","0","0","1","0","0","0","0","0","0","1","2","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","2","0","1","0","0","0","1","0","0","0","0","0","1","0"
"36-018 Arctic Village","4","0","0","1","1","0","0","0","0","1","0","0","0","0","8","0","0","1","1","0","0","0","0","1","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","5","0","1","0","1","2","0","0","1","0","0","0","0","0","0","0"
"36-022 Beaver","3","0","0","0","2","0","0","1","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","4","1","3","0","0","1","0","0","3","0","0","0","0","0","0","0"
"36-026 Bettles","4","0","0","1","0","0","4","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"36-034 Central","16","1","0","1","0","0","5","1","0","1","2","1","0","0","3","0","0","0","0","0","0","0","0","0","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0"
"36-038 Chistochina","27","0","0","1","0","0","6","1","0","6","1","0","0","1","3","0","0","0","0","0","0","0","0","0","1","3","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","8","1","0","0","1","3","0","0","1","0","0","0","0","0","0","0"
"36-042 Circle","6","0","0","0","0","0","1","0","0","0","1","1","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","0","0","0","0","0","1","0","1","0","0","0","0","0","3","0"
"36-046 Copper Center","81","1","0","3","2","0","49","9","0","12","9","9","0","5","9","0","0","0","1","0","0","0","0","1","7","2","0","6","4","3","0","0","1","0","0","0","1","0","2","0","0","0","12","7","7","0","1","10","8","0","7","0","0","1","2","0","4","2"
"36-050 Delta Junction","130","3","0","2","0","0","71","12","0","16","4","3","0","7","0","0","0","0","0","0","0","0","0","0","9","2","0","0","4","9","0","0","4","0","0","0","0","0","1","1","0","0","2","1","3","0","2","5","4","0","2","0","0","0","2","0","2","0"
"36-054 Deltana","417","0","0","5","5","0","258","40","0","57","18","8","0","10","15","3","0","0","4","0","2","2","0","0","22","4","0","12","25","28","3","0","8","1","1","0","0","0","2","3","0","0","25","10","6","0","2","21","9","0","10","0","0","4","1","0","6","2"
"36-058 Dot Lake","18","0","0","0","0","0","15","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0"
"36-062 Eagle","24","0","0","0","0","0","7","0","0","1","1","0","0","0","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","5","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"36-066 Fort Yukon","29","2","0","3","1","0","4","2","0","1","1","4","0","0","16","0","0","1","0","0","0","1","0","0","5","5","0","1","0","0","0","0","0","0","0","0","2","0","0","1","0","0","27","1","4","0","4","5","1","0","4","0","0","0","0","0","4","0"
"36-070 Gakona","34","0","0","0","0","0","4","0","0","3","3","4","0","1","3","1","0","0","0","0","0","0","0","1","1","1","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","9","0","4","0","0","5","0","0","1","0","1","0","0","0","0","0"
"36-074 Galena","28","1","0","1","0","0","3","1","0","7","2","6","0","3","14","0","0","2","3","0","0","0","0","0","7","4","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","19","1","3","0","3","9","3","0","3","0","2","1","0","0","2","0"
"36-078 Glennallen","56","1","0","2","1","0","34","6","0","11","4","0","0","3","1","0","0","0","0","0","0","0","0","0","3","0","0","4","2","0","1","0","0","0","1","0","0","0","0","1","0","0","4","3","2","0","0","5","0","0","3","0","0","0","0","0","0","0"
"36-082 Grayling","15","0","0","1","1","0","0","0","0","1","2","4","0","0","4","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","12","0","1","0","1","0","2","0","0","0","0","1","0","0","1","1"
"36-086 Holy Cross","7","0","0","0","0","0","1","1","0","1","0","2","0","1","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","4","0","3","0","1","1","2","0","2","0","0","0","0","0","0","1"
"36-090 Hughes","8","0","0","1","2","0","0","0","0","0","3","4","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","3","0","0","0","1","0","3","0","0","0","0","0","2","0"
"36-094 Huslia","19","0","0","2","3","0","1","1","0","2","2","8","0","1","5","0","0","0","2","0","0","0","0","1","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","12","1","4","0","1","1","2","0","5","0","0","0","2","0","0","0"
"36-098 Kaltag","16","0","0","0","1","0","0","0","0","0","0","2","0","0","8","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","2","0","0","0","1","0","1","0","0","0","0","0","1","0"
"36-102 Kenny Lake","57","1","0","2","0","0","16","1","0","14","3","4","0","4","7","1","0","0","1","0","1","0","0","0","6","2","0","1","2","1","2","0","1","0","0","0","0","0","0","0","0","0","5","2","0","0","0","13","2","0","4","0","0","0","0","0","0","0"
"36-106 Koyukuk","6","0","0","0","1","0","0","0","0","0","1","2","0","0","3","0","0","0","0","0","0","0","0","1","0","1","0","3","1","0","0","0","0","1","0","0","0","0","0","0","0","0","7","0","1","0","0","1","2","0","1","0","0","0","1","0","0","0"
"36-110 Manley","20","1","0","1","0","0","10","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"36-114 McGrath","29","0","0","2","2","0","10","2","0","1","3","5","0","2","3","1","0","0","1","0","0","0","0","0","0","2","0","2","2","4","0","0","1","0","1","0","0","0","0","0","0","0","5","1","1","0","0","2","0","0","0","0","0","0","0","0","0","0"
"36-118 Mentasta","13","0","0","0","1","0","1","0","0","1","0","1","0","0","1","1","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","3","0","3","0","0","0","1","0","0","0","0","0","0","0","1","0"
"36-122 Minto","12","1","0","0","0","0","1","1","0","0","1","0","0","3","2","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","5","0","7","0","2","1","1","0","3","0","0","0","0","0","1","0"
"36-126 Nenana","76","0","0","1","2","0","40","12","0","22","1","4","0","4","16","2","0","1","0","0","0","1","0","1","14","1","0","2","4","3","0","0","0","0","1","0","1","0","1","0","0","0","19","2","4","0","5","11","3","0","9","0","2","0","3","0","3","0"
"36-130 Nikolai","9","0","0","2","2","0","0","0","0","0","0","4","0","1","4","0","0","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","7","0","0","0","0","1","1","0","2","0","0","0","1","0","0","0"
"36-134 Northway","33","1","0","2","3","0","1","2","0","0","3","8","0","3","3","0","0","0","2","1","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","2","0","0","0","0","0","1","0","0","0","0","0","3","0"
"36-138 Nulato","10","0","0","1","1","0","0","1","0","1","1","6","0","2","7","0","0","0","2","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","2","5","0","1","0","1","0","2","0","0","0","1","0","0","0"
"36-142 Ruby","13","0","0","1","0","0","2","0","0","0","3","2","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","2","0","0","0","0","0","1","0","0","0","1","0","0","0"
"36-146 Shageluk","7","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","2","0","0","0","0","0","3","0","0","0","1","0","0","0"
"36-162 Tanana","9","0","0","0","0","0","0","0","0","1","2","0","0","0","6","0","0","1","1","0","0","1","0","0","6","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","0","1","0","1","3","2","0","4","0","0","0","1","0","4","1"
"36-166 Tetlin","4","0","0","2","1","0","0","1","0","0","0","5","0","2","0","0","0","1","1","0","0","1","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0"
"36-170 Tok","221","2","0","8","3","0","83","14","0","11","7","11","0","4","11","2","0","0","1","0","0","2","0","0","8","0","0","2","10","7","0","0","1","0","0","0","0","0","1","1","0","0","13","4","8","0","1","12","5","0","9","0","2","1","0","0","6","1"
"36-174 Venetie","17","0","1","0","0","0","1","0","0","0","1","1","0","0","6","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","9","1","2","0","1","0","0","0","0","0","0","0","0","0","1","0"
"37-700 Akutan","10","0","0","3","2","0","1","3","0","1","2","1","0","2","3","1","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","0","0","2","0","0","2","0","0","1","2","0","3","2"
"37-702 Aleknagik","17","1","0","2","2","0","0","0","0","0","0","2","0","0","4","0","0","0","0","0","0","0","0","1","2","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","5","1","0","0","1","5","0","0","2","0","0","0","0","0","4","0"
